title,price,location,url,page
made in japan les paul - processor ile takas dusunulur,42.000 TL,"Kocaeli
İzmit",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-made-in-japan-les-paul-processor-ile-takas-dusunulur-1224610216/detay,1
Fender Custom Telecaster 60s american elektro gitar red fiesta,87.500 TL,"İstanbul
Ümraniye",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-custom-telecaster-60s-american-elektro-gitar-red-fiesta-1224106208/detay,1
İBANEZ GİO GRX 55 ELEKTRO GİTAR,10.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-gio-grx-55-elektro-gitar-1224917549/detay,1
JACKSON JS32 RT DİNKY ELEKTRO GİTAR,16.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-jackson-js32-rt-dinky-elektro-gitar-1224916630/detay,1
MODİFİYELİ FENDER SQUİER AFFİNİTY,14.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-modifiyeli-fender-squier-affinity-1224915544/detay,1
ACIL SATILIK SCHECTER ELEKTRO GITAR,21.000 TL,"İzmir
Balçova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-acil-satilik-schecter-elektro-gitar-1224855251/detay,1
Fender American Pro Jazzmaster akçsğaç klavye,69.000 TL,"İzmir
Bornova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-american-pro-jazzmaster-akcsgac-klavye-1224753612/detay,1
İBANEZ S520 ENDONEZYA,22.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-s520-endonezya-1224752490/detay,1
FENDER TELECASTER SIFIR SAYILIR,26.500 TL,"İstanbul
Fatih",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-telecaster-sifir-sayilir-1224752063/detay,1
İBANEZ S520EX KOREA,25.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-s520ex-korea-1224751145/detay,1
